episode_id,policy,task,success,time_to_success,timeout,pair_id,unit_id,session_id
ckpt_0400-0,ckpt_0400,pick_mug,0,,30,p0,fr3_a,2026-09-18
ckpt_0520-0,ckpt_0520,pick_mug,1,25.2,30,p0,fr3_a,2026-09-18
ckpt_0400-1,ckpt_0400,pick_bottle,1,9.9,30,p1,fr3_a,2026-09-18
ckpt_0520-1,ckpt_0520,pick_bottle,0,,30,p1,fr3_a,2026-09-18
ckpt_0400-2,ckpt_0400,pick_box,0,,30,p2,fr3_a,2026-09-18
ckpt_0520-2,ckpt_0520,pick_box,1,10.6,30,p2,fr3_a,2026-09-18
ckpt_0400-3,ckpt_0400,pick_mug,1,15.4,30,p3,fr3_a,2026-09-18
ckpt_0520-3,ckpt_0520,pick_mug,0,,30,p3,fr3_a,2026-09-18
ckpt_0400-4,ckpt_0400,pick_bottle,1,24.5,30,p4,fr3_a,2026-09-18
ckpt_0520-4,ckpt_0520,pick_bottle,1,12.5,30,p4,fr3_a,2026-09-18
ckpt_0400-5,ckpt_0400,pick_box,1,9.3,30,p5,fr3_a,2026-09-18
ckpt_0520-5,ckpt_0520,pick_box,1,20.6,30,p5,fr3_a,2026-09-18
ckpt_0400-6,ckpt_0400,pick_mug,0,,30,p6,fr3_a,2026-09-18
ckpt_0520-6,ckpt_0520,pick_mug,1,27.4,30,p6,fr3_a,2026-09-18
ckpt_0400-7,ckpt_0400,pick_bottle,0,,30,p7,fr3_a,2026-09-18
ckpt_0520-7,ckpt_0520,pick_bottle,1,11.9,30,p7,fr3_a,2026-09-18
ckpt_0400-8,ckpt_0400,pick_box,1,8.9,30,p8,fr3_a,2026-09-18
ckpt_0520-8,ckpt_0520,pick_box,1,21.7,30,p8,fr3_a,2026-09-18
ckpt_0400-9,ckpt_0400,pick_mug,0,,30,p9,fr3_a,2026-09-18
ckpt_0520-9,ckpt_0520,pick_mug,0,,30,p9,fr3_a,2026-09-18
ckpt_0400-10,ckpt_0400,pick_bottle,1,15.4,30,p10,fr3_a,2026-09-18
ckpt_0520-10,ckpt_0520,pick_bottle,1,11.8,30,p10,fr3_a,2026-09-18
ckpt_0400-11,ckpt_0400,pick_box,1,17.5,30,p11,fr3_a,2026-09-18
ckpt_0520-11,ckpt_0520,pick_box,1,21.4,30,p11,fr3_a,2026-09-18
ckpt_0400-12,ckpt_0400,pick_mug,1,24.7,30,p12,fr3_a,2026-09-18
ckpt_0520-12,ckpt_0520,pick_mug,1,14.2,30,p12,fr3_a,2026-09-18
ckpt_0400-13,ckpt_0400,pick_bottle,0,,30,p13,fr3_a,2026-09-18
ckpt_0520-13,ckpt_0520,pick_bottle,1,15.7,30,p13,fr3_a,2026-09-18
ckpt_0400-14,ckpt_0400,pick_box,1,21.6,30,p14,fr3_a,2026-09-18
ckpt_0520-14,ckpt_0520,pick_box,1,12.0,30,p14,fr3_a,2026-09-18
ckpt_0400-15,ckpt_0400,pick_mug,1,23.7,30,p15,fr3_a,2026-09-18
ckpt_0520-15,ckpt_0520,pick_mug,1,22.1,30,p15,fr3_a,2026-09-18
ckpt_0400-16,ckpt_0400,pick_bottle,0,,30,p16,fr3_a,2026-09-18
ckpt_0520-16,ckpt_0520,pick_bottle,1,19.4,30,p16,fr3_a,2026-09-18
ckpt_0400-17,ckpt_0400,pick_box,1,10.3,30,p17,fr3_a,2026-09-18
ckpt_0520-17,ckpt_0520,pick_box,1,17.4,30,p17,fr3_a,2026-09-18
ckpt_0400-18,ckpt_0400,pick_mug,1,23.3,30,p18,fr3_a,2026-09-18
ckpt_0520-18,ckpt_0520,pick_mug,1,19.1,30,p18,fr3_a,2026-09-18
ckpt_0400-19,ckpt_0400,pick_bottle,1,14.1,30,p19,fr3_a,2026-09-18
ckpt_0520-19,ckpt_0520,pick_bottle,1,16.7,30,p19,fr3_a,2026-09-18
